group,pre_over_size,std_dev,transmission,manually_inspected,has_dcvs,has_tracing_issues,dont_consider_electrical,notes,in_utct
10073,1.31E-08,2.95E-09,electrical,TRUE,FALSE,FALSE,,w-cHIN,TRUE
10201,1.40E-08,4.25E-11,putative electrical,TRUE,FALSE,FALSE,,,TRUE
10170,1.42E-08,1.85E-09,electrical,TRUE,FALSE,FALSE,,w-cHIN,TRUE
10132,1.53E-08,1.53E-10,putative electrical,TRUE,FALSE,FALSE,,,TRUE
10042,2.02E-08,4.16E-09,putative electrical,TRUE,FALSE,FALSE,,,TRUE
10275,2.24E-08,6.39E-09,putative electrical,TRUE,FALSE,FALSE,,,TRUE
10147,2.65E-08,8.54E-09,electrical,TRUE,FALSE,FALSE,,w-cHIN,TRUE
10510,3.09E-08,9.48E-09,electrical,TRUE,FALSE,FALSE,,w-cHIN,TRUE
11486,3.82E-08,5.63E-09,putative electrical,TRUE,FALSE,FALSE,,,TRUE
10667,4.07E-08,2.02E-09,electrical,TRUE,FALSE,FALSE,,w-cHIN,TRUE
15495,4.71E-08,1.24E-08,putative electrical,TRUE,FALSE,FALSE,,,TRUE
10151,5.74E-08,3.92E-09,putative electrical,TRUE,FALSE,FALSE,,,TRUE
10598,5.86E-08,1.01E-08,electrical,TRUE,FALSE,FALSE,,n-cHIN,TRUE
13201,5.86E-08,3.99E-09,putative electrical,TRUE,FALSE,FALSE,,,TRUE
10326,6.00E-08,5.87E-09,putative electrical,TRUE,FALSE,FALSE,,,TRUE
11181,6.37E-08,4.42E-09,putative electrical,TRUE,FALSE,FALSE,,,TRUE
10177,6.65E-08,3.61E-10,putative electrical,TRUE,FALSE,FALSE,,,TRUE
11313,6.75E-08,2.67E-09,putative electrical,TRUE,FALSE,FALSE,,,TRUE
34801,7.05E-08,8.74E-09,,TRUE,FALSE,TRUE,TRUE,both badly traced,FALSE
11142,7.67E-08,8.42E-09,putative electrical,TRUE,FALSE,FALSE,,,TRUE
31794,8.10E-08,,,TRUE,FALSE,TRUE,TRUE,all group members have severe reconstruction issues,FALSE
12947,8.14E-08,1.53E-09,putative electrical,TRUE,FALSE,FALSE,,n-cHIN,TRUE
12943,9.09E-08,6.76E-09,putative electrical,TRUE,FALSE,FALSE,,,TRUE
35248,1.06E-07,,,TRUE,FALSE,TRUE,TRUE,all group members have severe reconstruction issues,FALSE
10817,1.13E-07,1.84E-08,putative electrical,TRUE,FALSE,FALSE,,,TRUE
12316,1.14E-07,3.54E-08,putative electrical,TRUE,FALSE,FALSE,,cHIN-like,TRUE
10629,1.17E-07,1.60E-08,putative electrical,TRUE,FALSE,FALSE,,,TRUE
10964,1.22E-07,3.12E-08,putative electrical,TRUE,FALSE,FALSE,,,TRUE
38189,1.26E-07,4.94E-08,putative electrical,TRUE,FALSE,TRUE,,some badly reconstructed,FALSE
20503,1.27E-07,7.58E-09,putative electrical,TRUE,FALSE,FALSE,,,TRUE
33017,1.37E-07,2.18E-08,,TRUE,FALSE,TRUE,TRUE,all group members have severe reconstruction issues,FALSE
26961,1.38E-07,1.18E-07,,TRUE,FALSE,TRUE,,L badly reconstructed,FALSE
26870,1.46E-07,6.79E-09,putative electrical,TRUE,FALSE,FALSE,,,FALSE
18069,1.51E-07,7.18E-08,putative electrical,TRUE,FALSE,TRUE,,,FALSE
19943,1.54E-07,8.78E-08,putative electrical,TRUE,FALSE,TRUE,,,FALSE
17891,1.57E-07,4.00E-08,putative electrical,TRUE,FALSE,FALSE,,,TRUE
14085,1.59E-07,7.72E-08,,TRUE,FALSE,TRUE,TRUE,L badly reconstructed,FALSE
22548,1.60E-07,5.95E-08,putative electrical,TRUE,FALSE,TRUE,,L badly reconstructed,FALSE
13148,1.63E-07,2.74E-09,putative electrical,TRUE,FALSE,FALSE,,cHIN-like,TRUE
18088,1.65E-07,1.32E-08,putative electrical,TRUE,FALSE,FALSE,,,FALSE
37628,1.67E-07,1.62E-08,putative electrical,TRUE,FALSE,TRUE,,,FALSE
19979,1.67E-07,2.91E-08,putative electrical,TRUE,FALSE,TRUE,,same group as 18088?,FALSE
13287,1.69E-07,1.28E-08,putative neurosecretory,TRUE,TRUE,FALSE,TRUE,,FALSE
30927,1.69E-07,5.57E-08,putative electrical,TRUE,FALSE,TRUE,,,FALSE
40296,1.70E-07,1.06E-07,,TRUE,FALSE,TRUE,TRUE,both badly traced?,FALSE
10497,1.70E-07,1.69E-07,,TRUE,FALSE,TRUE,TRUE,left neuron severely degrading,FALSE
14743,1.71E-07,1.33E-08,putative electrical,TRUE,FALSE,FALSE,,cHIN-like,TRUE
15651,1.71E-07,6.25E-08,putative electrical,TRUE,FALSE,FALSE,,,FALSE
